match_id,game_duration,game_mode,t100_kills,t100_deaths,t100_assists,t100_gold,t100_damage,t100_cs,t100_vision,t100_wardsPlaced,t100_wardsKilled,t100_controlWards,t100_towers,t100_dragons,t100_herald,t100_barons,t100_phdmg,t100_mgdmg,t100_trdmg,t100_goldpermin,t100_killsfr10,t100_inhibitors,t200_kills,t200_deaths,t200_assists,t200_gold,t200_damage,t200_cs,t200_vision,t200_wardsPlaced,t200_wardsKilled,t200_controlWards,t200_towers,t200_dragons,t200_barons,t200_herald,t200_phdmg,t200_mgdmg,t200_trdmg,t200_goldpermin,t200_killsfr10,t200_inhibitors,team_100_win
NA1_5472542876,1076,CLASSIC,21,10,36,40672,59708,662,99,45,10,0,3,1,3,0,33747,20389,5570,2267.9553903345723,0,0,10,21,14,31467,47210,541,76,35,9,0,1,1,0,0,26931,19160,1116,1754.6654275092937,0,0,1
NA1_5472507490,2526,CLASSIC,38,40,64,91229,189105,1277,337,136,40,0,9,5,1,0,75668,84711,28721,2166.959619952494,0,1,40,38,66,86688,257205,1246,359,138,52,0,6,2,2,0,127568,118281,11350,2059.097387173397,0,0,1
NA1_5472483818,2029,CLASSIC,44,27,85,84696,150396,1174,263,89,33,0,9,2,3,1,101693,41265,7434,2504.56382454411,0,1,27,44,42,70039,111719,1053,229,94,21,0,5,3,0,0,43400,61522,6791,2071.138491867915,0,0,1
NA1_5472454063,2541,CLASSIC,40,45,45,94462,133958,1364,360,162,41,0,12,1,0,3,58086,67700,8167,2230.5076741440375,0,4,45,40,73,102673,225245,1527,317,114,44,0,6,5,0,3,128138,81732,15370,2424.3919716646988,0,1,1
NA1_5472428963,2198,CLASSIC,29,41,33,74554,111432,1076,219,85,24,0,6,3,2,1,65510,40203,5716,2035.1410373066424,0,1,41,29,68,80805,138283,1117,262,102,32,0,12,3,1,0,59124,73325,5829,2205.7779799818018,0,2,0
NA1_5472408427,1557,CLASSIC,29,9,42,58954,91094,890,113,47,8,0,8,2,2,1,67470,19008,4613,2271.830443159923,0,1,9,29,15,48301,72142,840,122,52,9,0,3,2,0,0,28689,38699,4749,1861.3102119460502,0,0,1
NA1_5472135566,2793,CLASSIC,54,46,62,101893,196251,1465,355,142,51,0,8,2,1,2,112184,68243,15819,2188.893662728249,0,3,46,54,90,110396,254188,1429,423,149,61,0,8,4,2,0,124306,109798,20080,2371.5574650913,0,1,0
NA1_5471697622,2111,CLASSIC,33,37,69,74115,133816,1089,242,101,23,0,2,2,4,0,73285,53441,7086,2106.537186167693,0,0,37,33,45,79451,134817,1156,294,102,43,0,9,4,2,0,72361,55628,6825,2258.199905258172,0,1,0
NA1_5471665703,2112,CLASSIC,29,33,61,72503,118917,1038,227,99,31,0,7,0,0,1,45157,67828,5928,2059.744318181818,0,1,32,29,56,68034,126675,1087,291,119,36,0,5,4,0,2,62415,57640,6615,1932.7840909090908,0,0,1
NA1_5471642584,1432,CLASSIC,34,15,58,57439,86412,851,159,65,20,0,7,2,1,1,33200,52670,536,2406.6620111731845,0,0,15,34,33,43912,64179,663,157,61,18,0,0,0,0,0,31562,30172,2441,1839.8882681564246,0,0,1
NA1_5471620051,1842,CLASSIC,26,22,57,70472,111885,1064,242,91,32,0,10,2,4,2,57490,50788,3604,2295.5048859934855,0,1,22,26,35,60767,81745,1058,222,80,25,0,4,2,0,0,28772,49632,3336,1979.3811074918567,0,0,1
NA1_5471586683,2190,CLASSIC,22,35,45,73977,146974,1111,240,85,38,0,1,1,0,1,65524,74499,6947,2026.7671232876712,0,0,35,22,52,78561,146686,1192,308,101,40,0,10,4,1,2,58685,83376,4621,2152.3561643835615,0,2,0
